Item,Description,Selected Option,Price (AED),Shipping (AED),Price (USD),Shipping (USD),Link
Xfly X1300 Pusher FPV Fixed Wing Aircraft,Empty Airframe (No Electronics),Empty Airframe Only,528.64,0.00,143.91,0.00,https://ar.aliexpress.com/item/1005012294605575.html
TERANTY 14.8V RC LiPo Battery,4S 5200mAh 60C,T Plug / XT60,102.04,31.19,27.78,8.49,https://ar.aliexpress.com/item/1005006064323896.html
2212 Brushless Motor,Fixed Wing Rear Shaft,KV1400,46.37,17.71,12.62,4.82,https://ar.aliexpress.com/item/1005010759874258.html
Mitoot Brushless 40A ESC,Speed Controller 2-4S,XT60 Plug (5V 3A UBEC),25.69,0.00,6.99,0.00,https://www.aliexpress.com/ssr/300000512/BundleDeals2?productIds=1005005293503465
Gemfan RC Propellers Set,8x4 Forward Oar,8x4 Propeller,7.53,0.00,2.05,0.00,https://www.aliexpress.com/ssr/300000512/BundleDeals2?productIds=1005010148875508
DSPOWER 12g Micro Metal Gear Digital Servos,Pack of 6 PCS,6x Servos,173.07,0.00,47.11,0.00,https://ar.aliexpress.com/item/1005006788616741.html
MPU-9250 GY-9250 9-Axle IMU,Gyro + Accelerometer + Magnetometer,3~5V,20.00,0.00,5.44,0.00,https://www.noon.com/uae-en/mpu-9250-gy-9250-9-axle-16-bit-gyroscope-acceleration-magnetic-sensor-3-5v/ZAC72641E953208FED97AZ/p/
TOTAL ITEMS,,,903.34,48.90,245.90,13.31,
GRAND TOTAL,,,952.24,,259.21,
